currency,rate,base,date,rate_category
USD,1.0,USD,2026-04-23,low
AED,3.67,USD,2026-04-23,high
AFN,64.2,USD,2026-04-23,high
ALL,81.35,USD,2026-04-23,high
AMD,372.1,USD,2026-04-23,high
ANG,1.79,USD,2026-04-23,high
AOA,923.11,USD,2026-04-23,high
ARS,1378.13,USD,2026-04-23,high
AUD,1.4,USD,2026-04-23,high
AWG,1.79,USD,2026-04-23,high
AZN,1.7,USD,2026-04-23,high
BAM,1.67,USD,2026-04-23,high
BBD,2.0,USD,2026-04-23,high
BDT,122.72,USD,2026-04-23,high
BGN,1.67,USD,2026-04-23,high
BHD,0.376,USD,2026-04-23,low
BIF,2977.38,USD,2026-04-23,high
BMD,1.0,USD,2026-04-23,low
BND,1.27,USD,2026-04-23,high
BOB,6.93,USD,2026-04-23,high
BRL,4.97,USD,2026-04-23,high
BSD,1.0,USD,2026-04-23,low
BTN,93.86,USD,2026-04-23,high
BWP,13.66,USD,2026-04-23,high
BYN,2.81,USD,2026-04-23,high
BZD,2.0,USD,2026-04-23,high
CAD,1.37,USD,2026-04-23,high
CDF,2306.39,USD,2026-04-23,high
CHF,0.784,USD,2026-04-23,low
CLF,0.0226,USD,2026-04-23,low
CLP,893.07,USD,2026-04-23,high
CNH,6.83,USD,2026-04-23,high
CNY,6.84,USD,2026-04-23,high
COP,3578.85,USD,2026-04-23,high
CRC,455.37,USD,2026-04-23,high
CUP,24.0,USD,2026-04-23,high
CVE,94.05,USD,2026-04-23,high
CZK,20.77,USD,2026-04-23,high
DJF,177.72,USD,2026-04-23,high
DKK,6.36,USD,2026-04-23,high
DOP,60.23,USD,2026-04-23,high
DZD,132.34,USD,2026-04-23,high
EGP,52.0,USD,2026-04-23,high
ERN,15.0,USD,2026-04-23,high
ETB,156.01,USD,2026-04-23,high
EUR,0.853,USD,2026-04-23,low
FJD,2.2,USD,2026-04-23,high
FKP,0.741,USD,2026-04-23,low
FOK,6.36,USD,2026-04-23,high
GBP,0.741,USD,2026-04-23,low
GEL,2.69,USD,2026-04-23,high
GGP,0.741,USD,2026-04-23,low
GHS,11.13,USD,2026-04-23,high
GIP,0.741,USD,2026-04-23,low
GMD,74.2,USD,2026-04-23,high
GNF,8780.2,USD,2026-04-23,high
GTQ,7.65,USD,2026-04-23,high
GYD,209.18,USD,2026-04-23,high
HKD,7.83,USD,2026-04-23,high
HNL,26.58,USD,2026-04-23,high
HRK,6.43,USD,2026-04-23,high
HTG,130.79,USD,2026-04-23,high
HUF,311.13,USD,2026-04-23,high
IDR,17185.57,USD,2026-04-23,high
ILS,3.0,USD,2026-04-23,high
IMP,0.741,USD,2026-04-23,low
INR,93.86,USD,2026-04-23,high
IQD,1309.63,USD,2026-04-23,high
IRR,1082638.15,USD,2026-04-23,high
ISK,122.42,USD,2026-04-23,high
JEP,0.741,USD,2026-04-23,low
JMD,158.2,USD,2026-04-23,high
JOD,0.709,USD,2026-04-23,low
JPY,159.39,USD,2026-04-23,high
KES,129.09,USD,2026-04-23,high
KGS,87.58,USD,2026-04-23,high
KHR,3994.56,USD,2026-04-23,high
KID,1.4,USD,2026-04-23,high
KMF,419.64,USD,2026-04-23,high
KRW,1478.43,USD,2026-04-23,high
KWD,0.308,USD,2026-04-23,low
KYD,0.833,USD,2026-04-23,low
KZT,462.94,USD,2026-04-23,high
LAK,22006.54,USD,2026-04-23,high
LBP,89500.0,USD,2026-04-23,high
LKR,316.51,USD,2026-04-23,high
LRD,184.15,USD,2026-04-23,high
LSL,16.47,USD,2026-04-23,high
LYD,6.32,USD,2026-04-23,high
MAD,9.25,USD,2026-04-23,high
MDL,17.23,USD,2026-04-23,high
MGA,4141.33,USD,2026-04-23,high
MKD,52.41,USD,2026-04-23,high
MMK,2100.41,USD,2026-04-23,high
MNT,3595.91,USD,2026-04-23,high
MOP,8.07,USD,2026-04-23,high
MRU,39.91,USD,2026-04-23,high
MUR,46.51,USD,2026-04-23,high
MVR,15.46,USD,2026-04-23,high
MWK,1738.91,USD,2026-04-23,high
MXN,17.33,USD,2026-04-23,high
MYR,3.95,USD,2026-04-23,high
MZN,63.79,USD,2026-04-23,high
NAD,16.47,USD,2026-04-23,high
NGN,1349.0,USD,2026-04-23,high
NIO,36.82,USD,2026-04-23,high
NOK,9.3,USD,2026-04-23,high
NPR,150.18,USD,2026-04-23,high
NZD,1.69,USD,2026-04-23,high
OMR,0.384,USD,2026-04-23,low
PAB,1.0,USD,2026-04-23,low
PEN,3.44,USD,2026-04-23,high
PGK,4.4,USD,2026-04-23,high
PHP,60.18,USD,2026-04-23,high
PKR,278.95,USD,2026-04-23,high
PLN,3.62,USD,2026-04-23,high
PYG,6315.48,USD,2026-04-23,high
QAR,3.64,USD,2026-04-23,high
RON,4.34,USD,2026-04-23,high
RSD,99.95,USD,2026-04-23,high
RUB,75.04,USD,2026-04-23,high
RWF,1459.1,USD,2026-04-23,high
SAR,3.75,USD,2026-04-23,high
SBD,7.97,USD,2026-04-23,high
SCR,14.6,USD,2026-04-23,high
SDG,544.11,USD,2026-04-23,high
SEK,9.2,USD,2026-04-23,high
SGD,1.27,USD,2026-04-23,high
SHP,0.741,USD,2026-04-23,low
SLE,24.67,USD,2026-04-23,high
SLL,24670.06,USD,2026-04-23,high
SOS,571.53,USD,2026-04-23,high
SRD,37.46,USD,2026-04-23,high
SSP,4621.09,USD,2026-04-23,high
STN,20.9,USD,2026-04-23,high
SYP,113.57,USD,2026-04-23,high
SZL,16.47,USD,2026-04-23,high
THB,32.22,USD,2026-04-23,high
TJS,9.43,USD,2026-04-23,high
TMT,3.5,USD,2026-04-23,high
TND,2.88,USD,2026-04-23,high
TOP,2.39,USD,2026-04-23,high
TRY,44.95,USD,2026-04-23,high
TTD,6.78,USD,2026-04-23,high
TVD,1.4,USD,2026-04-23,high
TWD,31.49,USD,2026-04-23,high
TZS,2608.63,USD,2026-04-23,high
UAH,43.96,USD,2026-04-23,high
UGX,3701.56,USD,2026-04-23,high
UYU,39.79,USD,2026-04-23,high
UZS,12078.07,USD,2026-04-23,high
VES,483.34,USD,2026-04-23,high
VND,26243.27,USD,2026-04-23,high
VUV,118.32,USD,2026-04-23,high
WST,2.7,USD,2026-04-23,high
XAF,559.52,USD,2026-04-23,high
XCD,2.7,USD,2026-04-23,high
XCG,1.79,USD,2026-04-23,high
XDR,0.729,USD,2026-04-23,low
XOF,559.52,USD,2026-04-23,high
XPF,101.79,USD,2026-04-23,high
YER,238.7,USD,2026-04-23,high
ZAR,16.47,USD,2026-04-23,high
ZMW,19.03,USD,2026-04-23,high
ZWG,25.2,USD,2026-04-23,high
ZWL,25.2,USD,2026-04-23,high
