currency,rate,base,api_date,ingested_at
USD,1.0,USD,2026-04-23,2026-04-23 12:01:55
AED,3.67,USD,2026-04-23,2026-04-23 12:01:55
AFN,64.2,USD,2026-04-23,2026-04-23 12:01:55
ALL,81.35,USD,2026-04-23,2026-04-23 12:01:55
AMD,372.1,USD,2026-04-23,2026-04-23 12:01:55
ANG,1.79,USD,2026-04-23,2026-04-23 12:01:55
AOA,923.11,USD,2026-04-23,2026-04-23 12:01:55
ARS,1378.13,USD,2026-04-23,2026-04-23 12:01:55
AUD,1.4,USD,2026-04-23,2026-04-23 12:01:55
AWG,1.79,USD,2026-04-23,2026-04-23 12:01:55
AZN,1.7,USD,2026-04-23,2026-04-23 12:01:55
BAM,1.67,USD,2026-04-23,2026-04-23 12:01:55
BBD,2.0,USD,2026-04-23,2026-04-23 12:01:55
BDT,122.72,USD,2026-04-23,2026-04-23 12:01:55
BGN,1.67,USD,2026-04-23,2026-04-23 12:01:55
BHD,0.376,USD,2026-04-23,2026-04-23 12:01:55
BIF,2977.38,USD,2026-04-23,2026-04-23 12:01:55
BMD,1.0,USD,2026-04-23,2026-04-23 12:01:55
BND,1.27,USD,2026-04-23,2026-04-23 12:01:55
BOB,6.93,USD,2026-04-23,2026-04-23 12:01:55
BRL,4.97,USD,2026-04-23,2026-04-23 12:01:55
BSD,1.0,USD,2026-04-23,2026-04-23 12:01:55
BTN,93.86,USD,2026-04-23,2026-04-23 12:01:55
BWP,13.66,USD,2026-04-23,2026-04-23 12:01:55
BYN,2.81,USD,2026-04-23,2026-04-23 12:01:55
BZD,2.0,USD,2026-04-23,2026-04-23 12:01:55
CAD,1.37,USD,2026-04-23,2026-04-23 12:01:55
CDF,2306.39,USD,2026-04-23,2026-04-23 12:01:55
CHF,0.784,USD,2026-04-23,2026-04-23 12:01:55
CLF,0.0226,USD,2026-04-23,2026-04-23 12:01:55
CLP,893.07,USD,2026-04-23,2026-04-23 12:01:55
CNH,6.83,USD,2026-04-23,2026-04-23 12:01:55
CNY,6.84,USD,2026-04-23,2026-04-23 12:01:55
COP,3578.85,USD,2026-04-23,2026-04-23 12:01:55
CRC,455.37,USD,2026-04-23,2026-04-23 12:01:55
CUP,24.0,USD,2026-04-23,2026-04-23 12:01:55
CVE,94.05,USD,2026-04-23,2026-04-23 12:01:55
CZK,20.77,USD,2026-04-23,2026-04-23 12:01:55
DJF,177.72,USD,2026-04-23,2026-04-23 12:01:55
DKK,6.36,USD,2026-04-23,2026-04-23 12:01:55
DOP,60.23,USD,2026-04-23,2026-04-23 12:01:55
DZD,132.34,USD,2026-04-23,2026-04-23 12:01:55
EGP,52.0,USD,2026-04-23,2026-04-23 12:01:55
ERN,15.0,USD,2026-04-23,2026-04-23 12:01:55
ETB,156.01,USD,2026-04-23,2026-04-23 12:01:55
EUR,0.853,USD,2026-04-23,2026-04-23 12:01:55
FJD,2.2,USD,2026-04-23,2026-04-23 12:01:55
FKP,0.741,USD,2026-04-23,2026-04-23 12:01:55
FOK,6.36,USD,2026-04-23,2026-04-23 12:01:55
GBP,0.741,USD,2026-04-23,2026-04-23 12:01:55
GEL,2.69,USD,2026-04-23,2026-04-23 12:01:55
GGP,0.741,USD,2026-04-23,2026-04-23 12:01:55
GHS,11.13,USD,2026-04-23,2026-04-23 12:01:55
GIP,0.741,USD,2026-04-23,2026-04-23 12:01:55
GMD,74.2,USD,2026-04-23,2026-04-23 12:01:55
GNF,8780.2,USD,2026-04-23,2026-04-23 12:01:55
GTQ,7.65,USD,2026-04-23,2026-04-23 12:01:55
GYD,209.18,USD,2026-04-23,2026-04-23 12:01:55
HKD,7.83,USD,2026-04-23,2026-04-23 12:01:55
HNL,26.58,USD,2026-04-23,2026-04-23 12:01:55
HRK,6.43,USD,2026-04-23,2026-04-23 12:01:55
HTG,130.79,USD,2026-04-23,2026-04-23 12:01:55
HUF,311.13,USD,2026-04-23,2026-04-23 12:01:55
IDR,17185.57,USD,2026-04-23,2026-04-23 12:01:55
ILS,3.0,USD,2026-04-23,2026-04-23 12:01:55
IMP,0.741,USD,2026-04-23,2026-04-23 12:01:55
INR,93.86,USD,2026-04-23,2026-04-23 12:01:55
IQD,1309.63,USD,2026-04-23,2026-04-23 12:01:55
IRR,1082638.15,USD,2026-04-23,2026-04-23 12:01:55
ISK,122.42,USD,2026-04-23,2026-04-23 12:01:55
JEP,0.741,USD,2026-04-23,2026-04-23 12:01:55
JMD,158.2,USD,2026-04-23,2026-04-23 12:01:55
JOD,0.709,USD,2026-04-23,2026-04-23 12:01:55
JPY,159.39,USD,2026-04-23,2026-04-23 12:01:55
KES,129.09,USD,2026-04-23,2026-04-23 12:01:55
KGS,87.58,USD,2026-04-23,2026-04-23 12:01:55
KHR,3994.56,USD,2026-04-23,2026-04-23 12:01:55
KID,1.4,USD,2026-04-23,2026-04-23 12:01:55
KMF,419.64,USD,2026-04-23,2026-04-23 12:01:55
KRW,1478.43,USD,2026-04-23,2026-04-23 12:01:55
KWD,0.308,USD,2026-04-23,2026-04-23 12:01:55
KYD,0.833,USD,2026-04-23,2026-04-23 12:01:55
KZT,462.94,USD,2026-04-23,2026-04-23 12:01:55
LAK,22006.54,USD,2026-04-23,2026-04-23 12:01:55
LBP,89500.0,USD,2026-04-23,2026-04-23 12:01:55
LKR,316.51,USD,2026-04-23,2026-04-23 12:01:55
LRD,184.15,USD,2026-04-23,2026-04-23 12:01:55
LSL,16.47,USD,2026-04-23,2026-04-23 12:01:55
LYD,6.32,USD,2026-04-23,2026-04-23 12:01:55
MAD,9.25,USD,2026-04-23,2026-04-23 12:01:55
MDL,17.23,USD,2026-04-23,2026-04-23 12:01:55
MGA,4141.33,USD,2026-04-23,2026-04-23 12:01:55
MKD,52.41,USD,2026-04-23,2026-04-23 12:01:55
MMK,2100.41,USD,2026-04-23,2026-04-23 12:01:55
MNT,3595.91,USD,2026-04-23,2026-04-23 12:01:55
MOP,8.07,USD,2026-04-23,2026-04-23 12:01:55
MRU,39.91,USD,2026-04-23,2026-04-23 12:01:55
MUR,46.51,USD,2026-04-23,2026-04-23 12:01:55
MVR,15.46,USD,2026-04-23,2026-04-23 12:01:55
MWK,1738.91,USD,2026-04-23,2026-04-23 12:01:55
